Internados,Valor serviços hospitalares,Valor serviços profissionais,Valor médio intern,Dias permanência,Óbitos,Valor total
1302,587660,141205,559.8,3612,32,728865
448,242512,53115,659.88,1399,3,295627
361,178459,37704,598.79,911,4,216163
313,59793,14809,238.35,1060,,74603
6478,10576707,2057994,1950.40,21210,622,12634702
1090,577149,156184,672.78,3510,50,733334
215,123132,27619,701.17,726,6,150751
36,9634,1765,316.66,147,,11399
9876,7644792.00,1900989,966.56,48696,658,9545770
22,,1676,524.68,73,,11542
716,345181,82415,597.2,2458,19,427597
347,253769,49728,874.64,1587,17,303498
75,21144,3455,328,193,3,24600
500,221614,50925,545.08,,7,272539
1194,452684,98118,461.31,2772,34,550802
3221,1320334,470662,556.04,10655,56,1790996
56,28875,6829,637.6,67,,35705
2770,2590117,659750,1173.24,8282,118,3249868
7552,6734832,1631479,1107.83,28288,352,8366312
1187,569941,158925,614.04,3188,54,728866
132,65617,14098,603.91,408,,79715
222,120504,23003,646.43,883,7,143507
169,76909,14442,540.55,554,5,91352
488,242705,60181,620.67,1587,20,302886
628,378787,85545,739.38,2517,22,464333
154,116672,27554,936.54,372,,144227
312,152221,32578,592.31,1036,20,184799
1229,581730,177327,617.62,3247,24,759058
240,8110,2645,44.82,269,1,10756
2294,977481,223205,523.4,5073,81,1200686
58,34597,8082,735.87,179,,42680
51339,77750527,16189164,1829.79,316943,3130,93939692
573,295012,94255,679.35,1939,41,389267
43,1456,47,44.8,76,1,1926
2625,983086,355608,509.98,5804,43,1338695
388,187659,39362,585.11,1492,18,227022
936,487898,153155,684.89,2830,34,641053
1379,616806,187446,583.21,2419,35,804252
424,113401,41759,365.94,1021,10,155160
83,47382,9789,688.82,268,,57172
44,11939.00,-1415,313.43,112,,13791
246,152934,34732,762.87,611,13,187666
158,137757,33536,1084.14,643,5,171294
10005,8203544,2021928,-320591,40641,597,10225473
55,25728.00,6605,587.75,148,,32325
375,83142,28768,298.43,1071,,111911
2853,1075551,350469,499.83,8692,68,1426020
9612,7424788,1966802,977.07,43229,422,9391591
518,175610,63982,462.54,1554,7,239593
150,41125,12739,359.1,579,,53864
334,123535,39307,487.56,1051,7,162843
322,44318,19441,198.01,632,1,63759
221,82486,18.884,458.67,650,4,101366
29968,31028419,8991874,1328.47,172586,1849,40020294
235,58724,16032,318.11,597,,74756
127,76360,20400,761.9,329,1,96760
2203,852899,249444,500.38,6654,39,1102343
332,141637,33111,526.35,1309,14,174749
2342,732177,289147,436.09,4728,31,1021324
713,265633,59577,456.12,2654,11,325211
841,344386,111987,542.66,3315,11,456373
304,91883,33546,412.6,903,1,125429
121,34172,243005,353.1,339,,42725
616,153275,53544,335.75,1860,2,206820
877,312376,111167,482.95,3332,17,423544
376,148419,44970,514.33,1020,7,193389
1133,430394,214640,569.32,2580,15,645034
469,176121,56178,495.31,1542,19,232299
1256,372892,178986,439.39,4513,42,551878
1306,521174,185048,540.75,4614,31,706223
847,288063,110461,470.51,2565,24,398525
977,466642,133879,614.66,3027,16,600521
1605,593805,230696,513.71,5016,22,824501
2298,996810,306855,572.52,6594,23,1315660
756,171047,56963,301.6,2291,,228010
456,124973,39019,359.63,1470,4,163993
1605,907269,321267,765.44,4597,47,1228536
1106,506249,190789,630.23,2615,43,697038
4309,1751163,757359,582.16,13609,181,2508523
1124,485802,164803,578.83,3473,30,650605
1033,419956,144065,546,3220,28,564022
894,392426,121599,574.97,2741,19,514026
1509,573032,197845,510.85,4665,28,770878
433,284632,66302,810.47,1732,1,350935
2041,1000321,353168,663.15,6453,43,1353489
497,334110,99993,873.45,1337,1,434103
371,282193,70554,950.8,1874,3,352748
5083,2750911,1052188,748.2,18215,274,3803100
402,224207,79152,754.63,1280,13,303360
193,73496,25320,512,482,1,98816
112,39653,13624,475.7,319,2,53278
1051,339434,140248,456.41,1864,1,479682
1995,757638,269360,514.79,5697,7,1026998
6221,3029041,1100070,663.74,17898,151,4129111
641,322486,82837,632.33,2887,3,405323
129576,186652141,43764295,1778.23,869227,10510,230416436
2256,1110361,427883,681.85,6384,86,1538244
3416,1603766,639323,656.64,10225,121,2243089
734,351208,130390,656.13,2186,25,481598
1388,753492,269392,736.95,4477,6,1022884
908,437519,154400,651.89,2159,18,591919
237,65770,19908,361.51,793,,85678
7532,4320556,1324094,749.42,34977,403,5644651
355,147278,48091,550.34,1291,7,195370
1054,545434,157716,667.13,3751,49,703151
491,334205,91786,867.6,1871,17,425991
140,41201,21328,446.64,423,5,62530
1459,643278,216004,588.95,4517,23,859283
1432,427585,214665,448.5,5798,66,642250
1564,637540,183774,525.14,4617,52,821314
586,244861,86934,566.21,1511,16,331796
111,33771,14275,432.86,216,,48047
2823,1234733,554231,633.71,9650,117,1788964
854,342552,142662,568.17,2502,16,485215
5152,2288782,835873,606.49,18359,159,3124655
773,250521,92958,444.35,2328,9,343479
1114,561810,182166,667.84,2405,18,743976
809,503323,168915,830.95,3032,29,672238
96,17762,9437,283.33,234,,27199
199,56543,11061,339.72,662,1,67605
39771,35118990,9713608,1127.27,260573,2284,44832598
73,17946,11262,400.12,97,,29209
163,48574,17668,406.4,455,3,66242
223,41078,11281,234.8,431,,52359
181,54099,12689,369,674,,66788
270,73381,32227,391.14,580,1,105608
387,118718,47142,428.58,985,3,165861
2096,697728,275416,464.29,7183,9,973144
151,23272,4623,184.74,332,1,27895
122,47503,9805,469.75,462,,57309
8959,3239059,1155399,490.51,30315,119,4394458
357,156524,45439,590.33,1007,5,210748
1249,405784,136221,433.95,3786,21,542005
879,271157,78181,397.43,2510,,349339
1141,491915,133084,550.78,3284,20,628444
4367,1722686,515446,512.51,12145,185,2238132
1466,656426,222843,599.77,3691,14,879270
10410,12611833,3248550,1523.57,55383,792,15860383
974,250034,96626,355.91,2031,12,346661
33277,30369721,8677770,1188.37,150625,741,39545538
1562,931868,239324,749.8,6165,,1171193
3661,1658486,348389,548.18,13690,14,2006876
1068,414486,133811,513.39,3465,14,548298
832,305740,89053,474.51,2277,12,394793
162,58638,12796,440.95,452,8,71434
7694,4633388,1598544,821.6,27690,96,6321416
121795,195012958,56657417,2070.32,705610,7788,252154199
570,259053,69185,575.86,2029,24,328239
1055,467246,116819,553.62,2892,,584066
11485,12073105,3211769,1335.91,47909,365,15342975
1715,942276,209689,671.7,4813,16,1151965
613,188810,27583,353.01,1865,,216394
973,438229,136674,590.86,3464,,574904
8489,6123743,1765370,929.33,39127,311,7889110
1626,627749,107119,475.51,5350,10,773175
1043,318380,88524,390.13,2697,1,406905
5872,2115885,935458,519.64,16743,102,3051344
2018,901288,316851,603.64,8283,47,1218140
3988,2628251,839941,869.66,12289,24,3468192
1959,1038734,294384,680.51,6280,,1333118
21397,13639577,4457430,849.29,73802,906,18172203
160,42854,10900,335.97,321,,53754
4561,2150240,495031,579.98,15065,53,2645272
823,282879,108257,475.26,2877,10,391137
705,203642,50590,360.61,2397,4,254232
1349,529205,119714,481.04,2525,26,648919
1337,567785,171302,552.8,3559,23,739088
780,469093,91643,718.89,2965,54,560737
1951,817668,286106,565.75,4800,71,1103774
755,332351,77780,543.22,2133,,410132
390,122827,39948,417.37,1068,3,162775
1548,706746,161772,561.06,3463,10,868518
510,240607,75420,619.66,1766,6,316028
776,261934,80832,441.71,3076,,342766
2109,662018,203995,410.63,4991,26,866014
924,525170,117542,695.58,4199,78,642712
7740,2142258,668973,363.21,19705,64,2811231
38,16343,2340,491.69,197,3,18684
2917,1520074,477054,684.65,9598,26,1997129
282,128181,27576,552.33,869,1,155758
4708,3311825,990888,913.92,18816,588,4302713
1389,805895,243283,755.35,4335,46,1049178
246,70320,25067,387.76,492,12,95388
1848,814439,245299,598.88,5222,15,1106728
2311,997779,353769,584.83,6109,28,1351548
1115,519718,96918,553.04,3467,5,616636
1640,658678,205.066,526.67,4432,15,863738
17683,14862277,3952911,1082.71,83627,1177,19145603
545,223463,72783,543.57,2008,23,296246
105,37842,7211,429.08,214,1,45053
6736,4211934,1529833,852.4,25461,131,5741767
1089,388854,145203,490.41,2736,3,534057
911,256218,73433,361.86,2445,2,329651
1869,955084,303830,673.58,6617,1,1258915
1806,609752,221772,466.93,5092,26,843269
2869,1031782,374919,490.31,7610,102,1406702
1666,490552,186306,406.28,3868,25,676858
596,204104,60436,443.86,1669,1,264541
136,81186,19697,741.79,513,,100883
1910,702480,222452,484.26,4088,61,924932
1393,552464,183968,528.67,5086,35,736432
2112,669371,233018,427.27,9309,101,902390
1250,582718,155665,590.71,3624,17,738383
4163,1945478,645863,622.47,14712,162,2591342
875,503116,147302,743.34,2868,27,650418
3728,1385468,333785,461.17,10703,17,1719253
1594,664954,202757,544.36,4169,13,867712
444,177462,36638,482.21,1231,7,214100
7786,6077948,1724405,-327713,38209,422,7802354
9758,6017636,2188281,841.47,44091,437,8211048
316,202734,48393,794.71,1013,2,251127
671,160281,34200,289.84,1462,,194482
1244,224156,79531,244.12,2467,9,303688
757,324410,76289,529.33,1865,,400700
1836,658683,266503,503.91,4026,2,925186
2337,688002,209867,384.2,5594,5,897870
1092,547489,179719,687.01,3406,15,750211
9752,10788615,2424356,1365.83,48266,761,13319532
1400,679495,207548,633.6,4646,24,887044
3384,1045714,291248,395.08,8581,28,1336962
1450,566283,187652,526.82,3724,2,763890
2503,941794,341560,512.73,8027,79,1283354
477,165981,50415,453.66,1039,10,216397
455,120034,21368,310.77,1494,,141402
1159,518928,113284,545.48,7428,41,632213
632,159742,44080,322.51,1356,,203823
570,177094,38085,377.51,1654,11,215180
2965,1241261,372511,573.37,8635,,1700032
23128,26561104,5968516,1408.66,134857,1726,32579436
3530,1128065,294.262,402.93,10922,9,1422325
310,146695,31991,576.41,1082,,178687
972,390866,75826,480.14,4202,5,466693
4793,1787644,461013,480.79,14346,52,2304438
757,278140,67990,459.75,2677,22,348033
675,317181,72137,576.77,2103,18,389318
174,75440,14816,518.71,540,,90256
1459,611961,194605,552.82,4853,47,806567
1211,396171,129146,433.79,2814,,525318
325,94557,20055,352.66,900,9,114613
673,153853,43149,292.72,1542,2,197003
1696,480400,140494,366.09,3266,44,620895
4283,1290146,547235,428.99,14187,152,1837382
1009,540262,146754,680.89,3687,32,687017
3379,1102530,389658,441.61,8685,31,1492189
797,317950,55706,468.83,2232,,373657
1165,443316,123750,486.75,2719,15,567067
3794,2071793,466747,669.09,11618,61,2538541
